Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer_Mean_1,Layer_Mean_2,Layer_Mean_3,Layer_Mean_4,Layer_Mean_5,Layer_Mean_6,Layer_Mean_7,Layer_Mean_8,Layer_Mean_9
0.099,0.0005,0.006607971,0.014361584,4,1,1,1.125,1.08,1.088235294,1.065217391,1.086206897,1.125,1.147368421
0.099,0.001,0.006796757,0.014738008,5,1.428571429,1.588235294,1.5,1.549019608,1.519480519,1.509615385,1.53030303,1.5,1.472081218
0.099,0.003,0.001612452,0.015248583,12,6.375,5.952380952,5.317073171,4.652173913,4.233009709,3.979591837,3.787878788,3.755813953,3.689440994
0.099,0.005,0.008385255,0.015331774,14,8,6.333333333,5.404255319,5.473684211,5.157894737,4.907407407,4.622119816,4.257142857,3.959654179
0.01,0.0005,0.000737083,0.100254329,3,1.25,1.176470588,1.115384615,1.088235294,1.069767442,1.057692308,1.05,1.042857143,1.038961039
0.01,0.001,0.000864393,0.103204927,3,1.5,1.230769231,1.142857143,1.09375,1.073170732,1.063829787,1.056603774,1.046875,1.041666667
0.01,0.003,0.001297062,0.104209405,3,1.5,1.588235294,1.517241379,1.431818182,1.381818182,1.348484848,1.333333333,1.325581395,1.305263158
0.01,0.005,0.005805684,0.106316105,3,1.75,1.684210526,1.517241379,1.472222222,1.476190476,1.48,1.466666667,1.470588235,1.453333333
0.011,0.0005,0.000479867,0.100165669,3,1.142857143,1.142857143,1.090909091,1.068965517,1.054054054,1.044444444,1.037037037,1.032258065,1.028571429
0.011,0.001,0.001328755,0.108475192,3,1.833333333,1.615384615,1.523809524,1.428571429,1.371428571,1.29787234,1.265625,1.193548387,1.174311927
0.011,0.003,0.001067607,0.110150386,3,1.333333333,1.1875,1.172413793,1.166666667,1.166666667,1.168674699,1.193548387,1.194444444,1.186440678
0.011,0.005,0.002490824,0.106443517,3,1.714285714,1.473684211,1.428571429,1.4,1.348837209,1.326923077,1.366666667,1.411764706,1.397435897
0.099,0.0005,0.005352396,0.015532225,4,1,1.125,1.133333333,1.166666667,1.151515152,1.181818182,1.203703704,1.194029851,1.2
0.099,0.001,0.006333633,0.014256288,5,2.428571429,2.157894737,1.861111111,1.703703704,1.702702703,1.608247423,1.557377049,1.559210526,1.597883598
0.099,0.003,0.006046487,0.014846162,12,6.625,5.590909091,4.833333333,4.590909091,4.212121212,3.945205479,3.880597015,3.75,3.614457831
0.099,0.005,0.001010153,0.0153329,14,7.75,6.333333333,6.085106383,5.623376623,5.234782609,4.938650307,4.648401826,4.287234043,3.968571429
0.01,0.0005,0.000469053,0.105796164,3,1.666666667,1.545454545,1.444444444,1.36,1.303030303,1.243902439,1.2,1.172413793,1.147058824
0.01,0.001,0.000438918,0.104944066,3,1.5,1.25,1.15,1.09375,1.083333333,1.086206897,1.085714286,1.086419753,1.084210526
0.01,0.003,0.001680524,0.105258331,3,1.571428571,1.625,1.517241379,1.456521739,1.409836066,1.38961039,1.366666667,1.323529412,1.293103448
0.01,0.005,0.004194809,0.10566877,3,1.714285714,1.578947368,1.517241379,1.472222222,1.452380952,1.408163265,1.392857143,1.40625,1.432432432
0.011,0.0005,0.000633741,0.103205644,3,1.4,1.363636364,1.235294118,1.153846154,1.121212121,1.102564103,1.085106383,1.071428571,1.063492063
0.011,0.001,0.00113426,0.101612811,3,1.571428571,1.235294118,1.153846154,1.117647059,1.088888889,1.076923077,1.06779661,1.055555556,1.041666667
0.011,0.003,0.001623326,0.101375452,3,1.428571429,1.416666667,1.5,1.393939394,1.433962264,1.378787879,1.333333333,1.333333333,1.336956522
0.011,0.005,0.003379344,0.105385317,3,1.428571429,1.315789474,1.5,1.416666667,1.431818182,1.396226415,1.423728814,1.417910448,1.44
0.099,0.0005,0.00016326,0.011027692,3,1,1,1.230769231,1.25,1.185185185,1.25,1.2,1.161764706,1.137931034
0.099,0.001,0.00692793,0.008308048,5,1.6,1.785714286,1.75,1.72972973,1.7,1.657534247,1.638095238,1.603053435,1.651162791
0.099,0.003,0.002272903,0.014391991,11,6.625,5.434782609,4.837209302,4.558823529,4.105769231,4,3.91,3.723735409,3.633540373
0.099,0.005,0.002,0.019101124,16,9.125,6.958333333,6.14893617,5.779220779,5.318965517,5.203703704,4.837962963,4.387096774,4.048710602
0.01,0.0005,0.000549848,0.117199166,3,1.142857143,1.058823529,1.038461538,1.028571429,1.023255814,1.019230769,1.016949153,1.014705882,1.013333333
0.01,0.001,0.000601921,0.114770453,3,1.285714286,1.142857143,1.090909091,1.066666667,1.078947368,1.088888889,1.075471698,1.0625,1.054054054
0.01,0.003,0.002151918,0.106852225,3,2.2,2,1.739130435,1.735294118,1.632653061,1.612903226,1.583333333,1.512195122,1.456521739
0.01,0.005,0.002070083,0.105509575,3,1.375,1.3,1.5,1.361111111,1.325581395,1.3,1.293103448,1.313432836,1.342105263
0.011,0.0005,0.00116836,0.100307639,3,1.166666667,1.071428571,1.045454545,1.033333333,1.026315789,1.022727273,1.019230769,1.016129032,1.014084507
0.011,0.001,0.000762102,0.118003034,3,1.666666667,1.266666667,1.166666667,1.129032258,1.1,1.083333333,1.070175439,1.059701493,1.051282051
0.011,0.003,0.001064529,0.113668927,3,1.285714286,1.2,1.173913043,1.25,1.232142857,1.202702703,1.1875,1.181818182,1.183673469
0.011,0.005,0.001583274,0.106950664,3,1.714285714,1.473684211,1.392857143,1.4375,1.447368421,1.4375,1.431034483,1.424242424,1.418918919
0.099,0.0005,0.000355416,0.011313708,3,2.6965E+308,1,1.125,1.166666667,1.125,1.136363636,1.140350877,1.147058824,1.12345679
0.099,0.001,0.012407505,0.014758802,5,1.666666667,1.526315789,1.59375,1.5,1.524390244,1.567567568,1.547445255,1.505813953,1.497652582
0.099,0.003,0.009614803,0.017354424,11,6.25,5.52173913,5.093023256,4.661764706,4.405940594,4.14084507,3.937823834,3.858267717,3.68847352
0.099,0.005,0.00942809,0.020997117,15,8.125,6.913043478,6.488888889,5.866666667,5.504424779,5.099378882,4.796296296,4.372759857,4.002849003
0.01,0.0005,0.000503911,0.103843198,3,1.428571429,1.214285714,1.130434783,1.1,1.081081081,1.063829787,1.054545455,1.046153846,1.041666667
0.01,0.001,0.000798255,0.113816159,3,1.8,1.363636364,1.210526316,1.133333333,1.105263158,1.086956522,1.070175439,1.089552239,1.097560976
0.01,0.003,0.000976502,0.102902284,3,1.714285714,1.5,1.407407407,1.45,1.436363636,1.391304348,1.3625,1.340425532,1.303571429
0.01,0.005,0.003185944,0.105004185,3,1.625,1.35,1.416666667,1.4,1.384615385,1.4375,1.465517241,1.485294118,1.487179487
0.011,0.0005,0.000712942,0.103905422,3,1.8,1.545454545,1.352941176,1.230769231,1.162162162,1.139534884,1.115384615,1.098360656,1.088235294
0.011,0.001,0.000822704,0.100344407,3,1.6,1.285714286,1.181818182,1.121212121,1.090909091,1.066666667,1.085714286,1.097560976,1.085106383
0.011,0.003,0.001672696,0.101923849,3,1.333333333,1.214285714,1.137931034,1.113636364,1.129032258,1.137931034,1.141414141,1.160714286,1.173228346
0.011,0.005,0.001332329,0.1107013,3,1.714285714,1.666666667,1.517241379,1.472222222,1.418604651,1.428571429,1.421052632,1.382352941,1.421052632
0.099,0.0005,0.000498049,0.046392349,3,2.6965E+308,1,1.6,1.5,1.428571429,1.333333333,1.307692308,1.285714286,1.263157895
0.099,0.001,0.01078817,0.011787772,6,1.833333333,1.8,1.967741935,1.87755102,1.77027027,1.739583333,1.704918033,1.657894737,1.588235294
0.099,0.003,0.003985775,0.015716036,10,7,5.416666667,4.617021277,4.432432432,4.23364486,4.052980132,3.820895522,3.61302682,3.466666667
0.099,0.005,0.006871843,0.014726197,16,9.375,6.956521739,6.644444444,6.039473684,5.448275862,5.030487805,4.718181818,4.380782918,4.042857143
0.01,0.0005,0.000759211,0.097920808,2,1.166666667,1.090909091,1.058823529,1.043478261,1.035714286,1.029411765,1.024390244,1.021276596,1.018518519
0.01,0.001,0.000603602,0.104538038,3,1.285714286,1.142857143,1.136363636,1.096774194,1.069767442,1.056603774,1.047619048,1.051948052,1.045454545
0.01,0.003,0.002981954,0.10100495,3,1.375,1.277777778,1.2,1.282608696,1.310344828,1.285714286,1.271604938,1.285714286,1.297029703
0.01,0.005,0.003373523,0.105818503,3,1.5,1.5,1.423076923,1.46875,1.525,1.583333333,1.6,1.590163934,1.573529412
0.011,0.0005,0.000954779,0.118355703,3,1.666666667,1.454545455,1.315789474,1.25,1.194444444,1.177777778,1.150943396,1.13559322,1.121212121
0.011,0.001,0.000400781,0.102006672,3,1.285714286,1.117647059,1.08,1.057142857,1.044444444,1.037037037,1.032258065,1.042253521,1.050632911
0.011,0.003,0.001045244,0.104003005,3,1.5,1.307692308,1.193548387,1.25,1.246153846,1.217948718,1.209302326,1.198019802,1.201754386
0.011,0.005,0.004757838,0.105475116,3,1.5,1.4,1.428571429,1.441176471,1.380952381,1.428571429,1.448275862,1.447761194,1.421052632
0.099,0.0005,0.00041438,0.01467106,3,2,1.166666667,1.266666667,1.318181818,1.269230769,1.266666667,1.254237288,1.227272727,1.195121951
0.099,0.001,0.006304924,0.015724771,6,2.428571429,2.105263158,1.823529412,1.672727273,1.6,1.594059406,1.5,1.455621302,1.448275862
0.099,0.003,0.000412311,0.013954556,13,6,5.416666667,4.565217391,4.426666667,4.229357798,4.165562914,3.965346535,3.759541985,3.599388379
0.099,0.005,0.002236068,0.017261093,16,9.125,7.125,6.108695652,5.657894737,5.293103448,4.981707317,4.711009174,4.34519573,4.020057307
0.01,0.0005,0.000694152,0.105554916,3,1.285714286,1.133333333,1.086956522,1.064516129,1.05,1.041666667,1.035087719,1.03030303,1.026666667
0.01,0.001,0.00130831,0.115457935,3,1.285714286,1.142857143,1.086956522,1.064516129,1.051282051,1.041666667,1.035087719,1.03030303,1.039473684
0.01,0.003,0.002236184,0.10493443,3,1.571428571,1.263157895,1.35483871,1.34,1.268656716,1.259259259,1.280898876,1.254901961,1.245454545
0.01,0.005,0.003812595,0.109747559,3,1.428571429,1.315789474,1.392857143,1.351351351,1.395348837,1.346153846,1.327868852,1.328571429,1.341772152
0.011,0.0005,0.000809766,0.102031417,3,1.4,1.153846154,1.1,1.068965517,1.057142857,1.046511628,1.04,1.034482759,1.03125
0.011,0.001,0.000885145,0.114613758,3,1.428571429,1.2,1.130434783,1.088235294,1.068181818,1.071428571,1.074626866,1.075,1.086956522
0.011,0.003,0.004578748,0.098828886,3,1.333333333,1.214285714,1.291666667,1.375,1.285714286,1.359375,1.337662338,1.314606742,1.292929293
0.011,0.005,0.002538812,0.101838862,3,1.666666667,1.6,1.625,1.617647059,1.590909091,1.547169811,1.5,1.445945946,1.447058824
0.099,0.0005,0.010639454,0.010263866,4,1,1.428571429,1.375,1.3,1.266666667,1.282051282,1.230769231,1.238095238,1.246575342
0.099,0.001,0.020103771,0.015557661,6,1.6,2,1.9375,1.854166667,1.871428571,1.8,1.752,1.690322581,1.673913043
0.099,0.003,0.00329621,0.014038826,10,5.875,5,4.844444444,4.569444444,4.240740741,3.894736842,3.731707317,3.516981132,3.480362538
0.099,0.005,0.003142697,0.020050713,14,7.625,6.636363636,6.295454545,5.917808219,5.504424779,5.180124224,4.823255814,4.411552347,4.037463977
0.01,0.0005,0.000595,0.105990263,3,1.333333333,1.25,1.15,1.111111111,1.117647059,1.125,1.12244898,1.107142857,1.090909091
0.01,0.001,0.000609129,0.105056665,3,1.5,1.307692308,1.25,1.172413793,1.135135135,1.113636364,1.098039216,1.078125,1.0625
0.01,0.003,0.003172139,0.112542904,3,1.428571429,1.222222222,1.142857143,1.255813953,1.233333333,1.22972973,1.225,1.208791209,1.213592233
0.01,0.005,0.002949413,0.105703096,3,2.166666667,1.8125,1.739130435,1.515151515,1.538461538,1.510638298,1.5,1.46969697,1.486111111
0.011,0.0005,0.000450002,0.114282381,3,1.4,1.25,1.157894737,1.107142857,1.083333333,1.066666667,1.057692308,1.05,1.045454545
0.011,0.001,0.000661668,0.102841492,3,1.571428571,1.266666667,1.173913043,1.121212121,1.097560976,1.081632653,1.068965517,1.073529412,1.085365854
0.011,0.003,0.005116291,0.101125503,3,1.375,1.294117647,1.230769231,1.282051282,1.360655738,1.324324324,1.30952381,1.293478261,1.285714286
0.011,0.005,0.004246883,0.105822364,3,1.428571429,1.277777778,1.32,1.35483871,1.375,1.448979592,1.465517241,1.476923077,1.452054795
0.099,0.0005,0.000396684,0.014150972,3,2.6965E+308,1,1.1,1.117647059,1.08,1.085714286,1.102040816,1.102941176,1.1
0.099,0.001,0.005467232,0.015026756,7,2.285714286,1.9,1.842105263,1.74137931,1.670731707,1.666666667,1.654411765,1.604651163,1.575757576
0.099,0.003,0.007023285,0.011650426,12,6.375,6,5.219512195,4.865671642,4.392156863,4.062068966,3.969849246,3.903100775,3.787692308
0.099,0.005,0.007726181,0.016225671,14,8.75,6.695652174,6.386363636,6.069444444,5.509090909,5.115384615,4.815165877,4.428571429,4.079411765
0.01,0.0005,0.000904723,0.109096296,3,1.5,1.545454545,1.444444444,1.416666667,1.34375,1.307692308,1.288888889,1.264150943,1.25
0.01,0.001,0.000670463,0.105685679,3,1.6,1.307692308,1.25,1.222222222,1.170731707,1.150943396,1.119402985,1.106666667,1.104651163
0.01,0.003,0.002446491,0.111003631,3,1.375,1.277777778,1.1875,1.156862745,1.174603175,1.157894737,1.162790698,1.173469388,1.166666667
0.01,0.005,0.002733473,0.10663437,3,1.714285714,1.578947368,1.517241379,1.472222222,1.428571429,1.395833333,1.375,1.363636364,1.4
0.011,0.0005,0.000284077,0.116663244,3,1.4,1.142857143,1.08,1.0625,1.052631579,1.043478261,1.037037037,1.031746032,1.02739726
0.011,0.001,0.000617724,0.10332224,3,1.428571429,1.235294118,1.153846154,1.117647059,1.095238095,1.086206897,1.095890411,1.08045977,1.082474227
0.011,0.003,0.001577057,0.098824339,3,1.5,1.307692308,1.238095238,1.233333333,1.38,1.361111111,1.384615385,1.340659341,1.326530612
0.011,0.005,0.003822169,0.105563041,3,1.5,1.333333333,1.290322581,1.325,1.352941176,1.383333333,1.371428571,1.367088608,1.386363636
0.099,0.0005,0.005983249,0.013477116,4,1,1,1.166666667,1.096774194,1.075,1.090909091,1.135135135,1.119047619,1.131313131
0.099,0.001,0.008466701,0.015736726,5,1.833333333,1.5625,1.5625,1.526315789,1.5,1.472222222,1.405797101,1.429411765,1.429268293
0.099,0.003,0.003716517,0.014679965,11,5.75,4.875,4.52173913,4.315068493,4.113207547,3.965517241,3.873015873,3.725806452,3.574603175
0.099,0.005,0.012133516,0.022108105,16,8.375,6.391304348,5.795454545,5.297297297,5.333333333,5.173913043,4.778801843,4.35125448,4.043478261
0.01,0.0005,0.00028075,0.115349182,3,1.571428571,1.266666667,1.173913043,1.137931034,1.111111111,1.088888889,1.071428571,1.060606061,1.052631579
0.01,0.001,0.00149674,0.099602021,3,1.285714286,1.142857143,1.090909091,1.066666667,1.051282051,1.043478261,1.037735849,1.030769231,1.040540541
0.01,0.003,0.00169888,0.107647573,3,1.375,1.157894737,1.15625,1.230769231,1.214285714,1.226190476,1.206185567,1.1875,1.196850394
0.01,0.005,0.004054309,0.106202655,3,1.625,1.333333333,1.24137931,1.194444444,1.261904762,1.269230769,1.35,1.371428571,1.392405063
0.011,0.0005,0.000869314,0.11624157,3,1.4,1.153846154,1.090909091,1.066666667,1.055555556,1.046511628,1.04,1.034482759,1.029411765
0.011,0.001,0.000631029,0.100755657,3,1.333333333,1.266666667,1.173913043,1.125,1.097560976,1.078431373,1.06779661,1.057971014,1.051948052
0.011,0.003,0.00225375,0.101321888,3,1.5,1.545454545,1.409090909,1.323529412,1.41509434,1.378787879,1.351351351,1.341463415,1.316326531
0.011,0.005,0.004581933,0.103647372,3,1.714285714,1.526315789,1.428571429,1.441176471,1.380952381,1.38,1.396551724,1.402985075,1.402597403
0.099,0.0005,0.000501011,0.011131318,3,1,1,1.166666667,1.153846154,1.105263158,1.148148148,1.189189189,1.150943396,1.14084507
0.099,0.001,0.001233352,0.013846602,5,1.333333333,1.4375,1.529411765,1.62962963,1.62195122,1.626168224,1.636363636,1.579268293,1.571428571
0.099,0.003,0.006158203,0.018419159,11,5.375,4.5,4.340425532,4.012987013,3.781818182,3.763513514,3.603092784,3.470119522,3.408227848
0.099,0.005,0.009124144,0.014369319,14,8.125,6.52173913,6.113636364,5.472972973,5.394736842,5.279503106,4.815668203,4.378571429,4.008547009
0.01,0.0005,0.000125081,0.114617851,3,1.5,1.2,1.136363636,1.1,1.078947368,1.065217391,1.053571429,1.047619048,1.04109589
0.01,0.001,0.000736265,0.112917774,3,1.8,1.5,1.352941176,1.28,1.242424242,1.163265306,1.129032258,1.102564103,1.083333333
0.01,0.003,0.0005856,0.103077641,3,1.375,1.166666667,1.121212121,1.20754717,1.188405797,1.1875,1.208333333,1.247706422,1.254237288
0.01,0.005,0.002698465,0.10984509,3,1.571428571,1.5,1.518518519,1.472222222,1.422222222,1.403846154,1.389830508,1.388059701,1.381578947
0.011,0.0005,0.000501223,0.104934769,3,1.142857143,1.0625,1.043478261,1.03125,1.025,1.02173913,1.018867925,1.016129032,1.014492754
0.011,0.001,0.000269187,0.104047014,3,1.428571429,1.285714286,1.217391304,1.1875,1.170731707,1.150943396,1.15625,1.135135135,1.127906977
0.011,0.003,0.001627541,0.110750853,3,1.428571429,1.3125,1.391304348,1.454545455,1.469387755,1.516129032,1.48,1.441860465,1.413043478
0.011,0.005,0.003384446,0.106121321,3,1.571428571,1.473684211,1.535714286,1.472222222,1.452380952,1.448979592,1.423728814,1.426470588,1.434210526
